市区町村,総人口(単位：人),15歳未満人口(単位：人),15～64歳人口(単位：人),65歳以上人口(単位：人),外国人人口(単位：人),人口集中地区人口(単位：人),出生数(単位：人),死亡数(単位：人),転入者数(単位：人),転出者数(単位：人),昼間人口(単位：人),世帯数(単位：世帯),一般世帯数(単位：世帯),核家族世帯数(単位：世帯),単独世帯数(単位：世帯),65歳以上の世帯員のいる核家族世帯数(単位：世帯),高齢夫婦世帯数(単位：世帯),高齢単身世帯数(単位：世帯),婚姻件数(単位：組),離婚件数(単位：組),総面積(単位：k㎡),可住地面積(単位：k㎡),課税対象所得(単位：百万円),納税義務者数(単位：所得割）(単位：人),事業所数(単位：事業所),第２次産業事業所数(単位：事業所),第３次産業事業所数(単位：事業所),従業者数(単位：人),第２次産業従業者数(単位：人),第３次産業従業者数(単位：人),耕地面積(単位：k㎡),製造品出荷額等(単位：百万円),製造業従業者数(単位：人),商業年間商品販売額(単位：百万円),商業事業所数(単位：事業所),商業従業者数(単位：人),財政力指数(単位：市町村財政),実質収支比率(単位：市町村財政)(単位：％),実質公債費比率(単位：市町村財政)(単位：％),歳入決算総額(単位：市町村財政)(単位：百万円),歳出決算総額(単位：市町村財政)(単位：百万円),地方税(単位：市町村財政)(単位：百万円),幼稚園数(単位：園),幼稚園在園者数(単位：人),小学校数(単位：校),小学校教員数(単位：人),小学校児童数(単位：人),中学校数(単位：校),中学校教員数(単位：人),中学校生徒数(単位：人),高等学校数(単位：校),高等学校生徒数(単位：人),労働力人口(単位：人),就業者数(単位：人),完全失業者数(単位：人),第１次産業就業者数(単位：人),第２次産業就業者数(単位：人),第３次産業就業者数(単位：人),雇用者数(単位：人),役員数(単位：人),雇人のある業主数(単位：人),雇人のない業主数(単位：人),家族従業者数(単位：人),自市区町村で従業している就業者数(単位：人),他市区町村への通勤者数(単位：人),従業地による就業者数(単位：人),他市区町村からの通勤者数(単位：人),公民館数(単位：館),図書館数(単位：館),居住世帯あり住宅数(単位：住宅),持ち家数(単位：住宅),借家数(単位：住宅),１住宅当たり延べ面積(単位：㎡),非水洗化人口(単位：人),ごみ計画収集人口(単位：人),ごみ総排出量(単位：t),ごみのリサイクル率(単位：％),小売店数(単位：事業所),飲食店数(単位：事業所),大型小売店数(単位：事業所),百貨店，総合スーパー数(単位：事業所),一般病院数(単位：施設),一般診療所数(単位：施設),歯科診療所数(単位：施設),医師数(単位：人),歯科医師数(単位：人),薬剤師数(単位：人),介護老人福祉施設数(単位：所),児童福祉施設等数(単位：助産施設・児童遊園を除く）(単位：所),保育所等数(単位：所),保育所等在所児数(単位：人),国民健康保険被保険者数(単位：人)
大田区,717082,76485,469449,158190,15271,717082,5658,6339,43007,37675,693865,371149,370734,165015,189143,58704,26937,41901,4878,1196,60.83,60.83,1648343,389974,31432,6994,24424,375194,64332,310759,,401906,19752,6971980,5271,60688,,,-2.5,257275,250187,73006,48,8683,61,1618,29520,30,728,11509,14,11818,353477,340829,12648,415,61999,242337,261476,22789,5305,18212,5289,138689,171624,328994,159789,0,17,351960,154860,174430,59.33,38,717043,,,4320,3350,74,4,27,592,548,1852,1032,1681,18,161,99,9661,157001
世田谷区　,903346,97019,573317,184512,16217,903346,7459,6731,57563,52747,856870,463632,463351,217568,231289,75656,37698,39999,6159,1431,58.05,58.05,2620976,480953,28994,2799,26142,288580,21579,266710,,39640,2023,1929607,4676,43771,,,-2.5,296894,286324,119445,64,10409,70,2030,39664,52,1230,20237,38,25801,362123,350132,11991,1226,38943,259543,241745,30356,6599,25832,5740,103166,203104,276479,129451,0,16,451450,188700,214940,67.04,73,892210,,,5325,3451,112,3,26,872,757,2070,898,1979,19,162,125,11216,204904
渋谷区,224533,19156,148581,43899,7110,224533,2112,1590,19679,18150,539109,135749,135520,44212,84941,14311,6824,15218,2242,446,15.11,15.11,1029439,128501,28613,1572,27035,503767,33406,470333,,13823,866,6246137,4624,73919,,,-3.3,92879,83362,48785,21,2042,21,502,8125,13,333,4762,10,8835,96066,92718,3348,71,8229,69211,57344,10988,2143,7784,1624,31269,47808,373203,328293,0,10,122600,48550,61220,57.49,0,222578,,,4918,4294,136,6,17,549,423,1418,541,1523,7,42,35,3137,60184
中野区,328215,26531,223586,67709,10305,328215,2602,2686,25958,25087,313270,196132,196056,66468,121396,23370,11063,21915,2871,618,15.59,15.59,748425,181231,12917,1317,11597,128078,12148,115923,,10351,731,963238,1964,19614,,,0.4,126519,123000,33159,22,3237,25,581,10038,17,378,5641,12,10142,146611,140129,6482,162,15458,104971,100739,9166,2387,9938,2383,33967,89293,119547,68711,0,9,181010,64440,103610,53.38,9,325370,,,1960,1686,35,1,9,320,251,642,324,787,10,78,45,4161,86694
杉並区,563997,54535,370649,124460,9847,563997,4506,4365,39625,36241,479975,312001,311814,125219,175475,42627,20955,40797,4091,821,34.06,34.06,1443707,310345,20592,1771,18808,173874,14751,159066,,14303,1393,942167,3106,23785,,,-6.4,186736,179406,63341,45,6313,43,1179,20794,32,665,10273,19,16063,257542,248373,9169,469,27407,189732,180366,17248,4235,18270,3908,65668,156403,162076,70106,0,13,301680,114760,156840,60.44,48,558282,,,3396,2780,45,2,20,491,441,919,590,1128,15,133,76,6790,134604
豊島区,291167,23828,205853,57418,22279,291167,2109,2397,21837,20695,417146,176376,176061,58499,111692,19688,9135,19403,2271,467,13.01,13.01,663703,154706,19938,1867,18067,279586,25986,253585,,38380,2368,2297119,3320,39451,,,-3,128122,125520,31468,20,1708,24,569,9326,17,417,6971,16,12425,127576,121926,5650,92,14453,87326,84037,8614,2282,7874,2220,33692,70339,215248,163661,0,7,161590,66140,83930,55.07,5,283835,,,3148,2674,75,5,15,447,318,747,437,1257,9,71,42,3711,83554
北区　,341076,33535,216612,86840,15152,341076,2736,3514,22055,19869,329753,178379,178177,79490,90061,31089,14199,25885,2389,524,20.61,20.61,658835,178827,13701,2162,11536,142168,23105,119046,,179901,8237,1023930,2299,18885,,,-3.7,147003,143112,28067,36,4716,37,866,13144,22,481,6725,15,10045,151158,144825,6333,93,20867,102342,105860,7781,2160,8831,2438,39439,85403,130636,71214,0,15,173640,67820,95290,58.62,13,344548,,,2070,1660,36,3,18,274,243,621,306,1043,11,94,64,5986,88152
荒川区,212264,23588,137510,48930,14576,212264,1766,2065,12061,11070,194004,103101,102411,48721,45529,17327,7382,12576,1362,323,10.16,10.16,381268,105306,9899,2640,7258,85115,17631,67479,,90447,5583,592917,1682,13097,,,0.6,99878,97394,16725,14,1230,24,519,8686,12,278,4260,4,2695,99879,95686,4193,74,16170,65777,68775,6365,1736,6698,2204,27496,56810,80051,41175,0,7,97620,53890,39370,64.36,0,212765,,,1422,1002,24,1,14,180,137,541,182,489,6,59,42,4762,57187
板橋区,561916,59238,361101,128058,15295,561916,4419,4945,32113,29475,508099,291408,291149,128771,149236,45800,21790,36516,3553,1026,32.22,32.22,1031000,285739,19343,3716,15619,213374,38830,174518,,350688,14850,1230808,2902,29697,,,-4.2,204807,200477,44973,35,6274,53,1251,23065,28,706,11192,12,10665,250425,239664,10761,334,38103,171317,181320,13173,3391,14495,3737,79817,133755,185338,79429,0,12,268180,113830,135630,55.91,86,556859,,,2806,2114,65,5,42,385,348,2443,447,1601,16,166,106,9202,136485
練馬区,721722,86105,472513,158290,12696,721722,5920,6105,40738,38014,605084,337987,337678,181366,139563,61831,31153,34912,3998,1145,48.08,48.08,1505430,363578,21426,3257,18149,195639,23530,171975,,67319,3183,957163,3363,30487,,,-4,262201,254958,64893,45,9481,67,1731,33583,40,949,15606,14,9117,295158,284146,11012,1157,38010,205166,205602,17571,4622,19310,4745,83913,164777,183557,64188,0,13,342170,152960,166270,66.33,231,723145,,,3237,2110,73,5,17,553,456,1079,579,1431,30,168,120,10821,164033
